,entity,label,start,end,context
2135,the Brixton Road,FAC,311094,311110,"s pouring
down my face before I came to **THE BRIXTON ROAD**. My sister asked me what
was the matter"
2137,Pentonville,GPE,311436,311447,", and has just
been serving his time in **PENTONVILLE**. One day he had met me, and fell
into t"
2141,Kilburn,GPE,311680,311687," so I made up my mind to go right on to **KILBURN**, where
he lived, and take him into my c"
2146,Kilburn,GPE,312430,312437,"ow, and in it I would carry my
stone to **KILBURN**. There was a little shed in the yard, a"
2158,Kilburn,GPE,313870,313877,", and I carried the bird all the
way to **KILBURN**. I told my pal what I had done, for he "
2161,Covent Garden,FAC,314385,314398,"
“‘Which dealer’s?’

“‘Breckinridge, of **COVENT GARDEN**.’

“‘But was there another with a barre"
2175,Baker Street,FAC,317145,317157,"n we were sharing rooms as bachelors in **BAKER STREET**. It is
possible that I might have place"
2217,England,GPE,323192,323199," of one of the oldest Saxon families in **ENGLAND**, the
Roylotts of Stoke Moran, on the we"
2221,England,GPE,323378,323385,"ly was at one time among the richest in **ENGLAND**, and the
estates extended over the bord"
2222,Berkshire,GPE,323434,323443,"
estates extended over the borders into **BERKSHIRE** in the north, and
Hampshire in the west"
2223,Hampshire,GPE,323462,323471,"orders into Berkshire in the north, and
**HAMPSHIRE** in the west. In the last century, howev"
2231,England,GPE,324437,324444,"imprisonment and afterwards returned to **ENGLAND** a morose and
disappointed man.

“When D"
2233,India,GPE,324502,324507,"ppointed man.

“When Dr. Roylott was in **INDIA** he married my mother, Mrs. Stoner, the
"
2236,the Bengal Artillery,FAC,324587,324607,"young widow of Major-General Stoner, of **THE BENGAL ARTILLERY**. My sister
Julia and I were twins, and "
2241,England,GPE,324986,324993,"r marriage. Shortly
after our return to **ENGLAND** my mother died—she was killed eight yea"
2243,Crewe,GPE,325067,325072,"ht years
ago in a railway accident near **CREWE**. Dr. Roylott then abandoned his
attempt"
2245,London,GPE,325150,325156,"pts to establish himself in practice in **LONDON** and took us to live
with him in the old"
2246,Stoke Moran,LOC,325216,325227,"
with him in the old ancestral house at **STOKE MORAN**. The money which my
mother had left was"
2258,Harrow,GPE,327507,327513," Miss
Honoria Westphail, who lives near **HARROW**, and we were occasionally
allowed to pa"
2292,Reading,GPE,334913,334920,"n of Mr.
Armitage, of Crane Water, near **READING**. My stepfather has offered no
oppositio"
2295,the Crown Inn,FAC,335660,335673,"light I slipped down, got a
dog-cart at **THE CROWN INN**, which is opposite, and drove to Leathe"
2368,Hum,GPE,348238,348241,"built firmly into the massive masonry. “**HUM**!”
said he, scratching his chin in some "
2397,Crown,FAC,353966,353971,"age
inn over there?”

“Yes, that is the **CROWN**.”

“Very good. Your windows would be vi"
2404,the Crown Inn,FAC,355495,355508," engaging a bedroom and
sitting-room at **THE CROWN INN**. They were on the upper floor, and from"
2405,the avenue gate,FAC,355587,355602,"m
our window we could command a view of **THE AVENUE GATE**, and of the
inhabited wing of Stoke Mor"
2422,the Manor House,FAC,358626,358641,"d, and all
was dark in the direction of **THE MANOR HOUSE**. Two hours passed slowly
away, and then"
2439,Holmes,GPE,363331,363337,"ld to our hearts, and I stood
gazing at **HOLMES**, and he at me, until the last echoes of"
2449,India,GPE,364890,364895,"” cried Holmes; “the deadliest snake in **INDIA**. He
has died within ten seconds of bein"
2455,Harrow,GPE,365761,365767,"g train to the
care of her good aunt at **HARROW**, of how the slow process of official
in"
2459,India,GPE,367143,367148,"rnished with a supply of
creatures from **INDIA**, I felt that I was probably on the righ"
2477,Baker Street,FAC,370652,370664,"and had finally abandoned Holmes in his **BAKER STREET**
rooms, although I continually visited h"
2488,Paddington,GPE,372753,372763,"train this
morning, and on inquiring at **PADDINGTON** as to where I might find a
doctor, a wo"
2491,Victoria Street,FAC,373003,373018,"tor Hatherley, hydraulic
engineer, 16A, **VICTORIA STREET** (3rd floor).” That was the name, style,"
2499,Baker Street,FAC,376889,376901,"om, driving with my new
acquaintance to **BAKER STREET**.

Sherlock Holmes was, as I expected, l"
2505,London,GPE,378329,378335,"bachelor, residing
alone in lodgings in **LONDON**. By profession I am a hydraulic enginee"
2508,Greenwich,GPE,378520,378529,"ner & Matheson, the well-known firm,
of **GREENWICH**. Two years ago, having served my time, "
2510,Victoria Street,LOC,378726,378741,"yself and took professional
chambers in **VICTORIA STREET**.

“I suppose that everyone finds his fi"
2524,London,GPE,380555,380561,"nd a bachelor and are residing alone in **LONDON**.’

“‘That is quite correct,’ I answered"
2526,Berkshire,GPE,382814,382823," train.’

“‘Where to?’

“‘To Eyford, in **BERKSHIRE**. It is a little place near the borders "
2527,Oxfordshire,GPE,382866,382877,"t is a little place near the borders of
**OXFORDSHIRE**, and within seven miles of Reading. The"
2529,Reading,GPE,382905,382912,"
Oxfordshire, and within seven miles of **READING**. There is a train from
Paddington which"
2538,England,GPE,384462,384469,"t is only found in one
or two places in **ENGLAND**?’

“‘I have heard so.’

“‘Some little t"
2543,Eyford,GPE,386015,386021,"ell a human being that you are going to **EYFORD**
to-night. I hope that I make it all pla"
2545,fuller’s,GPE,386212,386220,"make of a hydraulic press in
excavating **FULLER’S**-earth, which, as I understand, is dug o"
2547,Eyford,GPE,386610,386616,"he spoke. ‘I shall expect you, then, at **EYFORD** at 11:15.’

“‘I shall certainly be ther"
2553,Eyford,GPE,387752,387758,"er, I was in time for the last train to **EYFORD**, and I reached the
little dim-lit stati"
2571,Eyford,GPE,392002,392008,"s the place? I was ten miles or so from **EYFORD**, that was all I
knew, but whether north"
2589,india,GPE,397459,397464,". An examination showed that one of the
**INDIA**-rubber bands which was round the head o"
2622,Eyford,GPE,406878,406884,"t once as a preliminary to starting for **EYFORD**.”

Some three hours or so afterwards we"
2627,Eyford,GPE,407258,407264,"ith his compasses drawing
a circle with **EYFORD** for its centre.

“There you are,” said "
2661,London,GPE,413571,413577,"e took our seats to return once
more to **LONDON**, “it has been a pretty business for me!"
2678,England,GPE,415939,415946," noble client?”

“One of the highest in **ENGLAND**.”

“My dear fellow, I congratulate you."
2694,the Duke of Balmoral,GPE,418370,418390,"ingham de Vere St. Simon, second son
of **THE DUKE OF BALMORAL**.’ Hum! ‘Arms: Azure, three caltrops in "
2701,the Grosvenor Square,FAC,419178,419198,".”

“Oh, you mean the little problem of **THE GROSVENOR SQUARE** furniture van.
That is quite cleared up"
2708,the Duke of Balmoral,GPE,419627,419647,"en Lord Robert St. Simon, second
son of **THE DUKE OF BALMORAL**, and Miss Hatty Doran, the only daughte"
2711,San Francisco,GPE,419717,419730,"ly daughter of
Aloysius Doran. Esq., of **SAN FRANCISCO**, Cal., U.S.A.’ That is all.”

“Terse an"
2713,U.S.A.,GPE,419738,419744,"us Doran. Esq., of San Francisco, Cal., **U.S.A.**’ That is all.”

“Terse and to the point"
2718,Great Britain,GPE,420159,420172,"e
the management of the noble houses of **GREAT BRITAIN** is passing into the
hands of our fair c"
2719,Atlantic,LOC,420235,420243,"nds of our fair cousins from across the **ATLANTIC**. An important
addition has been made du"
2724,California,GPE,420589,420599,"ty Doran, the fascinating daughter of a **CALIFORNIA**
millionaire. Miss Doran, whose graceful"
2737,St. George’s,GPE,421447,421459,"solutely quiet one, that it would
be at **ST. GEORGE’S**, Hanover Square, that only half a dozen"
2738,Hanover Square,FAC,421461,421475," one, that it would
be at St. George’s, **HANOVER SQUARE**, that only half a dozen intimate
friend"
2740,Lancaster Gate,FAC,421593,421607," would return to the
furnished house at **LANCASTER GATE** which has been taken by Mr. Aloysius
Do"
2742,Doran,GPE,421645,421650,"te which has been taken by Mr. Aloysius
**DORAN**. Two days later—that is, on Wednesday l"
2746,Petersfield,GPE,421828,421839," passed at Lord Backwater’s place, near **PETERSFIELD**. Those are
all the notices which appear"
2754,St. George’s,GPE,423290,423302,"
“‘The ceremony, which was performed at **ST. GEORGE’S**, Hanover Square,
was a very quiet one, "
2755,Hanover Square,FAC,423304,423318,"y, which was performed at St. George’s, **HANOVER SQUARE**,
was a very quiet one, no one being pre"
2763,Lancaster Gate,FAC,423649,423663," to the house of Mr. Aloysius Doran, at **LANCASTER
GATE**, where breakfast had been prepared. It "
2787,San Francisco,GPE,428475,428488," you first meet Miss Hatty Doran?”

“In **SAN FRANCISCO**, a year ago.”

“You were travelling in "
2789,Pacific,LOC,428766,428773,"He is said to be the richest man on the **PACIFIC** slope.”

“And how did he make his money"
2794,England,GPE,429368,429375,"he schoolmaster. She is what we call
in **ENGLAND** a tomboy, with a strong nature, wild an"
2797,St. Simon,GPE,430264,430273,"d the locket and
handed it back to Lord **ST. SIMON**.

“The young lady came to London, then,"
2798,London,GPE,430300,430306,"ord St. Simon.

“The young lady came to **LONDON**, then, and you renewed your
acquaintanc"
2799,London,GPE,430399,430405,"r father brought her over for this last **LONDON** season. I met
her several times, became"
2807,California,GPE,432501,432511," name. She is an American and came from **CALIFORNIA** with
her.”

“A confidential servant?”

"
2808,America,GPE,432666,432673,"e great liberties. Still, of course, in **AMERICA** they look upon these
things in a differ"
2815,Hyde Park,LOC,433581,433590,"nd she was afterwards seen walking into **HYDE PARK** in
company with Flora Millar, a woman w"
2837,Aberdeen,GPE,437576,437584," well. There was a parallel instance in **ABERDEEN** some years back, and
something on very "
2839,Munich,GPE,437647,437653,"omething on very much the same lines at **MUNICH** the year after the
Franco-Prussian War."
2851,Trafalgar Square,FAC,438787,438803,"artily.

“Have you dragged the basin of **TRAFALGAR SQUARE** fountain?” he asked.

“Why? What do you"
2895,the Arabian Nights,LOC,443477,443495,"sitors vanished away, like the genii of **THE ARABIAN NIGHTS**, with
no explanation save that the thin"
2909,Europe,LOC,446835,446841,"already. For my part,
I should like all **EUROPE** and America to hear the rights of it.” "
2910,America,GPE,446846,446853,"r my part,
I should like all Europe and **AMERICA** to hear the rights of it.” He was
a sma"
2914,Rockies,LOC,447080,447087,"met in ’84, in McQuire’s camp, near the **ROCKIES**, where Pa was working a
claim. We were "
2922,Pa.,GPE,447746,447749,"ack to claim me until he had as much as **PA.**
So then I promised to wait for him to t"
2924,Pa.,GPE,448212,448215,"to seek his fortune, and I went back to **PA.**

“The next I heard of Frank was that he"
2926,Montana,GPE,448263,448270,"ext I heard of Frank was that he was in **MONTANA**, and then he went
prospecting in Arizon"
2927,Arizona,GPE,448304,448311,"ontana, and then he went
prospecting in **ARIZONA**, and then I heard of him from New Mexic"
2928,New Mexico,GPE,448342,448352,"n Arizona, and then I heard of him from **NEW MEXICO**. After
that came a long newspaper story"
2938,London,GPE,448782,448788,". Simon came to ’Frisco, and we came
to **LONDON**, and a marriage was arranged, and Pa wa"
2945,California,GPE,450373,450383,"ck I told my maid, who had known him in **CALIFORNIA**, and
had always been his friend. I orde"
2951,Gordon Square,FAC,451199,451212,"
drove to some lodgings he had taken in **GORDON SQUARE**, and that was my
true wedding after all"
2955,England,GPE,451410,451417,"d given him up for dead and had gone to **ENGLAND**, followed me there,
and had come upon m"
2961,Paris,GPE,452211,452216,"s likely
that we should have gone on to **PARIS** to-morrow, only that this good
gentlema"
2979,Scotland,GPE,454470,454478,"iewed, for instance, by Mr. Lestrade of **SCOTLAND**
Yard.”

“You were not yourself at fault"
2984,America,GPE,455034,455041,"en? If she had, it must be
someone from **AMERICA** because she had spent so short a time i"
2991,London,GPE,456507,456513,"tled his bill at one of the
most select **LONDON** hotels.”

“How did you deduce the selec"
2994,London,GPE,456711,456717,"expensive hotels. There are
not many in **LONDON** which charge at that rate. In the secon"
2996,Northumberland Avenue,FAC,456782,456803,"e. In the second one which I
visited in **NORTHUMBERLAND AVENUE**, I learned by an inspection of the
book"
3010,Baker Street,FAC,458584,458596,"y in the wintry sun. Down
the centre of **BAKER STREET** it had been ploughed into a brown crumb"
3022,Threadneedle Street,FAC,462040,462059," banking firm of Holder & Stevenson, of
**THREADNEEDLE STREET**.”

The name was indeed well known to us"
3024,the City of London,GPE,462184,462202,"cond largest private banking concern in **THE CITY OF LONDON**.
What could have happened, then, to bri"
3025,London,GPE,462277,462283,"o bring one of the foremost citizens
of **LONDON** to this most pitiable pass? We waited, "
3026,Baker Street,FAC,462558,462570,"uld secure your
co-operation. I came to **BAKER STREET** by the Underground and hurried
from the"
3027,Underground,LOC,462578,462589,"peration. I came to Baker Street by the **UNDERGROUND** and hurried
from there on foot, for the"
3032,England,GPE,463736,463743,"highest, noblest, most exalted names
in **ENGLAND**. I was overwhelmed by the honour and at"
3036,morocco,GPE,465145,465152,"o,’ said he, raising up a square,
black **MOROCCO** case which he had laid beside his chair"
3037,the Beryl Coronet,FAC,465223,465240,"his chair. ‘You have
doubtless heard of **THE BERYL CORONET**?’

“‘One of the most precious public po"
3125,London,GPE,485743,485749,"p, I have brought a gentleman down from **LONDON**
to inquire more deeply into it.”

“This"
3159,Baker Street,FAC,491302,491314,"night?”

“If you can call upon me at my **BAKER STREET** rooms to-morrow morning
between nine an"
3169,the West End,LOC,493183,493195,"
“Where to?”

“Oh, to the other side of **THE WEST END**. It may be some time before I
get back."
3202,England,GPE,498672,498679," He is one of the most dangerous men in **ENGLAND**—a
ruined gambler, an absolutely despera"
3214,Wooden,GPE,503254,503260,"he deep toe and light heel
marks, while **WOODEN**-leg had waited a little, and then had g"
3234,England,GPE,508417,508424,"rd day’s work.”

“A day which has saved **ENGLAND** from a great public scandal,” said the
"
3244,Baker Street,FAC,511268,511280,"ide of a cheery fire in the old room at **BAKER STREET**. A
thick fog rolled down between the li"
3245,china,GPE,511501,511506,"shone on the white cloth and
glimmer of **CHINA** and metal, for the table had not been c"
3265,Nova Scotia,FAC,515181,515192," received an
appointment at Halifax, in **NOVA SCOTIA**, and took his children over to
America "
3266,America,GPE,515224,515231,"a Scotia, and took his children over to
**AMERICA** with him, so that I found myself withou"
3267,the West End,GPE,515515,515527," a well-known agency for governesses in **THE WEST END** called
Westaway’s, and there I used to "
3301,England,GPE,521889,521896,"r
eccentricity. Very few governesses in **ENGLAND** are getting £ 100 a year.
Besides, what"
3310,Philadelphia,GPE,523109,523121,"g to my dear
    daughter Alice (now in **PHILADELPHIA**), which would, I should think,
    fit "
3325,Hampshire,GPE,525894,525903,"wept from her face. “I shall go down to **HAMPSHIRE** quite easy in my
mind now. I shall writ"
3345,Hampshire,GPE,528505,528514,"e
way down, but after we had passed the **HAMPSHIRE** border he threw them
down and began to "
3348,Baker Street,FAC,529097,529109,"husiasm of
a man fresh from the fogs of **BAKER STREET**.

But Holmes shook his head gravely.

“"
3352,London,GPE,529760,529766,"e, that the lowest and vilest alleys in **LONDON**
do not present a more dreadful record o"
3369,Southampton,GPE,532782,532793,"fourth a field which slopes down to the **SOUTHAMPTON** highroad,
which curves past about a hun"
3372,Baker Street,FAC,533301,533313,"d to us to be probable
in your rooms at **BAKER STREET**. Mrs. Rucastle is not mad. I found her "
3377,Philadelphia,GPE,533686,533698,"t wife was the daughter who has gone to **PHILADELPHIA**.
Mr. Rucastle told me in private that t"
3390,the Copper Beeches,FAC,536139,536157,"ing.

“For two days after my arrival at **THE COPPER BEECHES** my life was very
quiet; on the third, M"
3407,Southampton,GPE,539347,539358,"ed that there was a man standing in the **SOUTHAMPTON**
Road, a small bearded man in a grey sui"
3415,the Copper Beeches,FAC,540781,540799,"ak. On
the very first day that I was at **THE COPPER BEECHES**, Mr. Rucastle took
me to a small outhou"
3426,London,GPE,542550,542556," I had, as you
know, cut off my hair in **LONDON**, and I had placed it in a great coil at"
3462,was—‘and,GPE,548680,548688,"k how
caressing and soothing his manner **WAS—‘AND** what has frightened you, my
dear young "
3476,Rucastles,LOC,551442,551451,"hing
with him.”

“That is well. And the **RUCASTLES** go out to-night?”

“Yes.”

“Is there a "
3479,the Copper Beeches,FAC,551827,551845,"will try. What is it?”

“We shall be at **THE COPPER BEECHES** by seven o’clock, my friend and I.
The "
3482,Rucastles,LOC,551885,551894," by seven o’clock, my friend and I.
The **RUCASTLES** will be gone by that time, and Toller w"
3487,America,GPE,552532,552539,"ber right, who was said to
have gone to **AMERICA**. You were chosen, doubtless, as resembl"
3497,Copper Beeches,FAC,554368,554382,"r it was just seven when we reached the
**COPPER BEECHES**, having put up our trap at a wayside pu"
3510,Rucastles,LOC,556248,556257,"ter; “the ladder was not there
when the **RUCASTLES** went away.”

“He has come back and done"
3521,Rucastle,GPE,557802,557810,"ished brute, its black muzzle
buried in **RUCASTLE**’s throat, while he writhed and screamed"
3531,n’t,GPE,559197,559200," was never happy at home, Miss Alice was**N’T**, from the time that her
father married "
3539,London,GPE,560431,560437,"r.”

“And brought Miss Hunter down from **LONDON** in order to get rid of the
disagreeable"
3551,Rucastle,GPE,561653,561661," servants, who probably know so much of
**RUCASTLE**’s past life that he finds it difficult "
3554,Southampton,GPE,561786,561797,"le were married, by special license, in
**SOUTHAMPTON** the day after their flight, and he is n"
3559,Walsall,GPE,562131,562138," is now the head of a private school at
**WALSALL**, where I believe that she has met with "
